	english	sinhala	Similarity score	Alignment score
73	Checkerboard	දාම්ලෑල්ල	0.49479803314772985	1.0
74	Copying disc	තැටිය පිටපත් කරමින්	0.4941460223053582	0.85
75	%s mailing list	%s තැපැල් ලැයිස්තුව	0.4939517963503022	1.0
76	Book Shelf	පොත් රාක්කය	0.4938830245519057	0.564394
77	Server logfile:	සර්වරයේ ලඝු ගොනුව:	0.4936779820790855	0.465461
78	Exiting	පිටවන්න	0.4936755176167935	1.0
79	Error opening file %s	%s ගොනුව විවෘත කීරිම දෝෂ සහිතයි	0.493640545448522	0.521307
80	Stack overflow	ස්ටැකය පිරී ඇත	0.49303877802305324	0.433333
81	Apple Devices Support	ඇපල් උපාංග සහාය	0.492934475565562	0.676136
82	Failed to load RGB data from TIFF file	TIFF ගොනුවෙන් RGB දත්ත පූරණය අසමත් විය	0.4927872812448864	0.358974
83	Sender	යවන්නා	0.49221797779318877	1.0
85	Maximum color value in PNM file is 0	PNM ගොනුවෙහි උපරිම වර්‍ණ අගය ශුන්‍යක් වේ	0.49173615445586516	0.668425
86	Color Profile	වර්‍ණ පැතිකඩ	0.49096997643029816	0.445055
87	_Spelling Suggestions	අක්ෂර වින්‍යාස යෝජනා (_S)	0.4909080216602888	0.769231
88	Choose folders	බහාලුම් තෝරන්න	0.4908465222688392	0.533333
89	Cannot allocate TGA header memory	TAG ශීර්ෂක මතකය වෙනකර තැබිය නොහැක	0.4907360521268674	0.338235
90	Rename the selection	තේරීමෙ නම වෙනස්කරන්න	0.4905183468654286	0.428571
91	No encryption	සංකේතනය නැත	0.49047475116094574	0.72619
92	Recurring	පුනරාවර්තනය වීම	0.49024427455151454	0.875
93	Width or height of TIFF image is zero	TIFF පිළිඹිබුවේ උස හෝ පළල ශුන්‍යවේ	0.49021114069821586	0.354511
94	File Saving	ගොනුව සුරැකෙමින්	0.49008757687811355	0.384804
95	Comic Books	විහිළු පොත්	0.4897473512683064	1.0
96	Cannot allocate memory for TGA context struct	PNM සන්ධර්භ ව්‍යුහය සඳහා මතකය ප්‍රමාණවත් නැත	0.48973510812260346	0.318599
97	Encodings shown in menu	පෙන්වනලද මෙනුව කේතීකරණය කරන්න	0.4895002443516981	0.358333
98	Basic	සාමාන්‍ය	0.48948130139615387	1.0
99	Failed to write TIFF data	TIFF වෙත දත්ත ලිවීම අසමත් විය	0.4889112485031928	0.59359
100	Embedded	කාවැද්දු	0.488799669285072	1.0
101	Embedded subset	කාවැද්දු උප කුළකය	0.48867578530916944	0.53125
103	Temporary folder:	තාවකාලික බහාලුම	0.4883826506394212	0.559028
104	Contact goes offline	සබඳතාව නොබැඳි වෙයි	0.4882569390319986	0.677945
105	Unexpected end of PNM image data	PNM පිළිඹිබු ගොනුවේ බලාපොරොත්තු නොවු	0.4881460263951278	0.65602
106	color chooser	වර්ණ තෝරණය	0.4880941519222688	0.558442
107	^Rescue a broken system	බිඳුණු පද්ධතිය බේරාගන්න (_R)	0.4880114771221997	0.536638
108	XPM file has image height <= 0	XPM ගොනුවේ පිළිඹිබු උස <= 0	0.4877382210826361	0.677995
109	Connect to Server	සර්වරයට සම්බන්ධ වන්න	0.48750499394373037	0.384921
110	Encryption error	සංකේතාංකන දෝෂය	0.4872622525144834	0.656863
111	Selected Link	තෝරාගත් සබැඳිය	0.487220611597877	1.0
112	Cannot realloc IOBuffer data	IOBuffer දත්ත නැත වෙනකර තැබිය නොහැක	0.4869698534943297	0.435824
113	file chooser	ගොනු තෝරන්නා	0.4868984963686671	1.0
114	Default Image	පෙරනිමි පිංතූරය	0.4867323812190777	1.0
116	Other Fax	වෙනත් ෆැක්ස්	0.48670894364477135	0.530769
117	Insufficient memory to load PNM context struct	PNM සන්ධර්භ ව්‍යුහය පූරණයට මතකය ප්‍රමාණවත් නැත	0.4866685907633501	0.617021
118	Enable networking	ජාලකරණය සක්‍රීය කරන්න	0.4863617996161338	0.487374
119	Cannot allocate memory for IOBuffer struct	IOBuffer ව්‍යුහය සඳහා මතකය වෙනකර තැබිය නොහැක	0.48629579743817714	0.443669
120	Start date	ආරම්භක දිනය	0.4860425098158885	1.0
122	PNM file has an image height of 0	PNM ගොනුවෙහි පිළිඹිබු උස ශුන්‍ය වේ	0.485943461217547	0.463866
123	SSL encryption	SSL සංකේතනය	0.4858764917298686	1.0
124	Nickname	අනුවත්ත නම	0.48571542295394465	0.863636
125	Type a new shortcut	නව කෙටි මඟක් ඇතුලත් කරන්න	0.4852966697198943	0.503846
127	Removing packages	පැකේජ ඉවත් කරමින්	0.48511761592817493	0.416667
128	Audiobooks Library	ශ්‍රව්‍යපොත් පුස්තකාලය	0.4848754917984479	0.572082
130	Grant access	ප්‍රවේශයට ඉඩදෙන්න	0.4846917571267113	0.547009
131	_RGB profile:	_RGB පැතිකඩ:	0.4842833991973631	1.0
132	Fatal error in PNG image file: %s	PNG පිළිඹිබු ගොනුව තුළ තීරනාත්මක දෝෂයක් ඇත: %s	0.48420127475881236	0.470901
133	Ounces	අවුන්සunit-format	0.484115369617939	1.0
134	_Clear Highlight	උද්දීපන ඉවත්කරන්න (_C)	0.48348710774093545	0.314578
135	Saving Images	පිංතූර සුරකිමින්	0.483446665882637	0.544118
137	PNM file has an incorrect initial byte	PNM ගොනුව තුළ සාවද්‍ය ආරම්භක බයිටයක් ඇත	0.48284928049344744	0.493269
138	Cannot allocate memory for IOBuffer data	IOBuffer දත්ත සඳහා මතකය වෙනකර තැබිය නොහැක	0.4825694782652735	0.445703
139	Transparent Parts	විනිවිද කොටස්	0.48253000594559126	0.452381
140	Untitled Message	නිර්ණාමික පණිවිඩය	0.4824809494893998	1.0
141	Highlight Current Line	දැනට ඇති රේඛාව උද්දීපනය කරන්න	0.48246926229487186	0.465942
143	Icon has zero height	සංකේතය සතුව ශුන්‍ය උසක් ඇත	0.48219385374617835	0.68254
145	_Reduce location accuracy	පිහිටීම් නිරවද්‍යතාව අඩු කරන්න (_R)	0.4821158983540954	0.563034
146	_Spelling Suggestions...	අක්‍ෂර වින්‍යාස යෝජනා... (_S)	0.48201248605191493	0.733333
148	Change software repository	මෘදුකාංග ගබඩාව වෙනස් කරන්න	0.481805096824246	0.648148
149	Out of Range	සීමාවෙන් පිටත	0.4817880112095736	0.409341
150	Not enough memory to composite a frame in GIF file	GIF ගොනුව තුළ සමිශ්‍රිත රාමුවක් සැකසීමට ප්‍රමාණවත් මතකයක් නැත	0.48144075950093596	0.560247
151	Unnamed	නිර්ණාමික	0.4811445205123164	1.0
152	Save Draft	කෙටුම් පත සුරකින්න	0.48109093052335083	0.456938
153	TLS encryption	TLS සංකේතාන්කනය	0.481084578728769	1.0
155	Reinstall the given packages	දී ඇති පැකේජයන් යලි ස්ථාපනය කරන්න	0.48078739464108367	0.577586
156	Outgoing calls	යන ඇමතුම්	0.480721385916695	1.0
157	Enable spell checker	අක්ෂර වින්‍යාස පරීක්ෂකය සක්‍රීය කරන්න	0.4807088732413831	0.308897
158	Downloading	භාගත වෙමින්	0.4805109733424615	0.708333
159	Chat window theme	සල්ලාප කවුළු තේමාව	0.4805012127762893	0.350877
160	Bookmarks	පිටු සළකුණු	0.48038514140045346	0.708333
161	Cannot allocate temporary IOBuffer data	තානකාලීක IOBuffer දත්ත වෙනකර තැබිය නොහැක	0.4803725736329205	0.542988
163	New Appointment	නව සම්මුතියක්	0.48016550051397644	1.0
164	Cannot allocate memory for loading XPM image	XPM පිළිඹිබුව පූරණයට මතකය වෙන් කළ නොහැකි විය	0.48005372665048074	0.6
165	Image has zero width	පිළිඹිබුව සතුව ශුන්‍ය පළලක් ඇත	0.47991337549729157	0.480031
166	Transparency color	විනිවිදයන වර්‍ණ	0.47968096678960137	0.529605
167	_Enable automatic indentation	ස්වයංක්‍රීය ඉඩ තැබීම (_E)	0.4793795267634067	0.626923
170	unsupported RAS image variation	සහාය නොදක්වන RAS පිළිඹිබු විචලනය	0.47873820781066856	0.431818
171	Set a proxy for software downloads	මෘදුකාංග අවපතන සඳහා පෙරකලාසිය සකසන්න	0.4785179538139346	0.612355
172	Upgrade packages	පැකේජයන් උසස් කරන්න	0.47842437075451016	0.460294
173	Show offline contacts	නොබැඳි පරිශීලකයින් පෙන්වන්න	0.4783093643054599	0.581169
174	All archives	සියළුම සංරක්‍ෂණ	0.47829907393315807	1.0
175	All files	සියළු ගොනු	0.4781194149982184	0.527273
176	All files	සියළුම ගොනු	0.4781194149982184	1.0
177	Failed to write to temporary file when loading XBM image	XBM පිළිඹිබු ගොනුව පූරණයේදි තාවකාලීක ගොනුවට ලිවීම අසමත් විය	0.47804174861974186	0.462719
179	Font for fixed width text	අචල දිගක් ඇති වචන කාණ්ඩයට අකුරු රටා	0.4779672502918402	0.576923
180	Install a command-line system	විධාන-රේඛා පද්ධතියක් ස්ථාපනය කරන්න	0.47772297630581306	0.633333
182	GIF image is corrupt (incorrect LZW compression)	GIF පිළිඹිබුව විනාශ වි ඇත (සාවද්‍ය LZW සම්පීඩනයක්)	0.4773571340093476	0.811325
183	Brushes	පින්සල්	0.47733281632905367	1.0
185	Scripts	ස්ක්‍රිප්ට්	0.4769687311837323	1.0
186	_Previous Tip	පෙර ඉඟි (_P)	0.47679806321752544	0.549451
187	Save as Animation	සජීවීකරණයක් ලෙස සුරකින්න	0.4765954722640335	0.517778
188	_Monitor profile:	මොනිටරයේ පැතිකඩ (_M):	0.47656440670772265	0.386364
190	Firefox Launchpad plugin	ෆයර්ෆොක්ස් ලන්ච්පෑඩ් ප්ලගීනය	0.4763963135446829	0.372414
192	Marks	සලකුණු	0.47633968881564215	1.0
193	File corrupted	ගොනුව දුෂ්ප්‍රතිපන්න වී ඇත	0.47617986518889666	0.888889
194	Read Messages	කියවූ පණිවිඩ	0.47610699717188254	0.409341
195	Save directory	බහලුම සුරකින්න	0.47571577969938517	0.366667
196	Connected to server	සේවාදායකයට සම්බන්ධ විය	0.47550930935540237	0.423913
197	animation	සජීවනය	0.47548571790684946	1.0
198	Receiving Email	විද්‍යුත් තැපැල් ලැබීම	0.47545306480606087	0.464674
199	Close _without Saving	සුරකීමකින් _තොරව වසන්න	0.47544823406497017	0.33498
200	Save Selected	තේරිම සුරකින්න	0.4754246838274412	0.521429
201	Add w_ord	වචන එක් කරන්න (_o)	0.47542122625962807	0.431579
202	Remove downloaded package files	බාගත කරන ලද පැකේජ ගොනු ඉවත් කරන්න	0.47534436879868736	0.412684
203	Couldn't allocate memory for line data	රේඛිය දත්ත සඳහා මතකය වෙන් කළ නොහැකි විය	0.47523557562981883	0.595513
204	Send Options	යැවීමේ විකල්ප	0.47456280316691846	1.0
205	Installed file	ස්ථාපිත ගොනුව	0.4745194908173289	0.619048
206	Show version information and exit	අනුවාදයේ තොරතුරු පෙන්වා ඉවත් වන්න	0.4745175490776698	0.441176
207	Not enough memory to load GIF file	GIF ගොනුව පූරණයට ප්‍රමාණවත් මතකයක් නැත	0.47423553170375926	0.497802
208	Resume normal boot	සාමාන්‍ය ඇරඹුම පුනරාරම්භය	0.4739985893247649	0.357287
209	Configure the application	යෙදුම මානකරණය කරන්න	0.47392331101133833	0.392308
210	Select a Time Zone	වේලා කළාපයක් තෝරන්න	0.47380292176967487	0.640789
211	_Set expiration date	කල්ඉකුත්වන දිනය සකසන්න (_S)ESendOptions	0.4737772414518986	0.513095
212	Edit the application toolbar	යෙදුම් මෙවලම් පුවරුව සකසන්න	0.47375172008469235	0.405172
213	Not enough memory to load RAS image	RAS පූරණය පූරණයට ප්‍රමාණවත් මතකයක් නැත	0.4737482476832619	0.638889
214	canvas	කැන්වසය	0.4736997516884003	1.0
215	Could not get image width (bad TIFF file)	පිළිඹිබු පළල ලබාගත නොහැකි විය (අයෝග්‍ය TIFF ගොනුව)	0.4736984805554472	0.753501
216	Show Balance in contact list	සබැඳි ලයිස්තුවේ ශේෂය පෙන්වන්න	0.47348942780081416	0.454598
217	column header	තීරු සිරස	0.4734832696558442	0.5
218	Failed to write to temporary file when loading XPM image	XPM පිළිඹිබු ගොනුව පූරණයේදි තාවකාලීක ගොනුවට ලිවීම අසමත් විය	0.4731265760317285	0.41886
219	Close all open files	විවෘතව ඇති ගොනු සියල්ල වසන්න	0.47311205601179473	0.684729
220	A_vailable encodings:	භාවිතයට ඇති කේතාංකන (_v):	0.4730773945756283	0.365385
221	Appointment	සම්මුතිය	0.4730479633435607	1.0
222	No XPM header found	XPM ශීර්ෂකය හමුවුයේ නැත	0.4730081361681757	0.525
223	Search _backwards	පසුපසට සොයන්න	0.4730053792931273	0.555556
224	Sending Email	විද්‍යුත් තැපැල් යැවීම	0.4728947999828961	0.416149
225	Error on deleting image %s	%s පිළිඹිබුව මැකීමෙදි දෝෂයකි	0.47288827937154565	0.66092
226	evolution minicard	ඉවෝලුශන් කුඩා කාඩ්පත	0.47285143443150446	0.477444
228	Move to Folder	බහලුමට ගෙන යන්න	0.47257016273215413	0.452083
229	footer	පාදකය	0.47252442440367304	1.0
230	_Previous	පෙර (_P)	0.4724926700873766	0.777778
231	Mass Storage Media Player Support	ස්කන්ධ සංචිත මාධ්‍ය වාදක සහය	0.4724832337597036	0.589757
232	Show as list	ලැයිස්තුවක් ලෙස පෙන්වන්න	0.47238233711686917	0.372308
234	Not enough memory to load ICO file	ICO ගොනුව පූරණයට ප්‍රමාණවත් මතකයක් නැත	0.47210646647706256	0.606227
235	Traditional	සම්ප්‍රදායිකChinese, Simplified	0.4718420683639124	0.828125
236	Show contact groups	සබැඳි සමූහයන් පෙන්වන්න	0.4718329748866381	0.320652
237	_Full name	සම්පූර්ණ නම (_F)	0.47176955160102807	0.735294
238	Click to open %s	%s විවෘත කිරීමට ක්ලික් කරන්න	0.4716672355425544	0.896552
240	Cannot allocate memory for loading PNM image	PNM පිළිඹිබුව පූරණයට මතකය වෙන් කළ නොහැකි විය	0.4715713967292112	0.6
241	Install the given packages	දී ඇති පැකේජයන් ස්ථාපනය කරන්න	0.47149803467618767	0.316667
242	Disc Burner and Copier	තැටි පුළුස්සනය සහ පිටපත් කරණය	0.47148286048468435	0.372464
243	Dimensions of TIFF image too large	TIFF පිළිඹිබුවේ මාන ඉතා විශාල වේ	0.4714669511256252	0.541558
244	^Try Mythbuntu without installing	ස්ථාපනයෙන් තොරව මිත්බුන්ටු අත්හදා බලන්න (_T)	0.47142375544353854	0.571569
245	Save Image	පිළිඹිබුව සුරකින්න	0.47138596227159724	0.535885
246	Password required	මුරපදය අවශ්‍යයි	0.4713457539473893	1.0
247	Width of the index and search pane	සුචියේ හා සෙවුම් කොටුවේ පළල	0.4711829563257197	0.742857
248	Email Address	විද්‍යුත් තැපැල් ලිපිනය	0.47116648583323695	0.422619
249	Removed packages	අස්ථාපනය කෙරූ පැකේජයන්	0.47105184840620495	0.891304
250	Keyword	මුල පදය	0.4707537033536937	0.75
251	No undo history	පෙරසේ ඉතිහාසයක් නොමැත	0.47073598619317636	0.769886
252	option pane	විකල්ප කවුළුව	0.4705840453389101	1.0
253	Defaults	පෙරනිමි	0.4705650794203393	1.0
254	Using email address	විද්‍යුත් ලිපිනය භාවිතයෙන්	0.4705197654548101	0.664815
255	Display Line Numbers	පෙළ අංක දර්ශනය කරන්න	0.4703968155554973	0.619048
256	Check the current document for incorrect spelling	දැනට ඇති ලේඛනයේ අක්‍ෂර වින්‍යාසය පරීක්‍ෂා කරන්න	0.47027036350046864	0.724583
257	No grouping	සමූහගතව නොවේ	0.47025746502913535	0.682692
258	Show multiple pages	පිටු කිහිපයක් පෙන්වන්න	0.47017024254499795	0.741304
259	Active plugins	ක්‍රියාකාරී ප්ලගීන	0.47004788093909156	0.582456
260	Remove the selected toolbar	තෝරාගත් මෙවලම් පුවරුව ඉවත් කරන්න	0.4699397320509888	0.731602
262	Image Windows	පිංතූර කවුළුව	0.4695573375430158	0.464286
263	Show groups	කණ්ඩායම් පෙන්වන්න	0.469539408251876	0.458333
264	^Check disc for defects	අඩුපාඩු සඳහා තැටිය පරික්ෂා කරන්න (_C)	0.4695260899461573	0.632675
265	_Selected files	තෝරාගත් ගොනු (_S)	0.46933560524485074	0.777778
266	Removing group	සමූහය ඉවත් කරමින්	0.4691951264976524	0.466667
267	Removing contact	සබඳතාව ඉවත්කරමින්	0.46917414997005835	0.570261
268	Use driver update disc	ධාවක යාවත්කාලීන තැටිය භාවිතා කරන්න	0.4690661402128171	0.367081
269	Error sending a file	ගොනුවක් යැවීම දෝෂය	0.468734921538271	0.952381
270	Enable Search Highlighting	සෙවීම් උද්දීපනය සක්‍රීය කරන්න	0.46866064548065156	0.374074
271	Installing packages	පැකේජයන් ස්ථාපනය කරමින්	0.46849816862959415	0.4125
272	Unsupported depth for ICO file: %d	ICO ගොනුව සඳහා සහාය නොදක්වන ගැබුරක්: %d	0.4684521252803478	0.776786
273	Codecs to play	වැයීමට ඇති කොඩෙක්	0.4684336094505852	0.427778
274	New conversation	නව සංවාදය	0.46833506680559367	0.532353
276	caption	යටි ලියමන	0.46828447820735164	0.7
277	Show archive properties	සංරක්‍ෂණ වත්කම් පෙන්වන්න	0.468122462159954	0.306667
278	Listing files…	ගොනු ලැයිස්තුගත කරමින්…	0.46806254881084897	0.457014
279	Running tool:	ක්‍රියාත්මක වන මෙවම:	0.4679332325321799	0.928571
281	Title	සිරස්තලය	0.4676262430148199	1.0
283	Maximum color value in PNM file is too large	PNM ගොනුවෙහි උපරිම වර්‍ණ අගය ඉතා විශාල වේ	0.46747973899099987	0.736508
284	Search contacts	සබැඳි සොයන්න	0.46735114153125323	0.550481
285	Easy to use distributed version control system	භාවිතයට පහසු බෙදාහැරි අනුවාද පාලක පද්ධතිය	0.4673424776756292	0.549139
286	Search for text	පෙළ සඳහා සොයන්න	0.46725379518069676	0.34375
287	Getting the file list	ගොනු ලැයිස්තුව ලබා ගනිමින්	0.4672103270131629	0.505051
288	radio button	විකල්ප බොත්තම	0.4670668377657421	0.519231
289	Show Details	විස්තර පෙන්වන්න	0.46675716439494863	0.473558
290	invalid contact	අවලංගු සබඳතාවකි	0.4667483418015763	0.53125
291	push button	එබුම් බොත්තම	0.466691324749263	1.0
292	Remember password	මුරපදය මතක තබාගන්න	0.46666776938945986	0.434211
293	C_olumns:	තීරු (_o):	0.46654942129675203	0.772727
294	Redo the last undone action	අවසාන අහෝසි කළ ක්‍රියාව නැවත කරන්න	0.46622565020156165	0.564286
295	Show Fields	ක්‍ෂේත්‍ර පෙන්වන්න	0.46608013147488236	1.0
296	Untitled	නිර්ණාමික	0.4660014213004615	1.0
297	Bad code encountered	සාවද්‍ය කේතයක් හදුනා ගන්නා ලදි	0.46575462860873096	0.542243
298	List keys of trusted vendors	විශ්වාසවන්ත විකිණුම්කරුවන්ගේ යතුරු ලැයිස්තුගත කරන්න	0.4657342245845939	0.301393
299	Extract the selected archive	තෝරාගත් සංරක්‍ෂණය විසුරුවන්න	0.4657016940182075	0.62069
300	Insert spaces	ඉඩකඩ ඇතුළු කරන්න	0.46568706968138296	0.823529
301	^Try Lubuntu without installing	ස්ථාපනයෙන් තොරව ලුබුන්ටු අත්හදා බලන්න (_T)	0.4655241423170082	0.549055
302	Expires	කල් ඉකුතුව	0.4653925939637702	0.818182
303	Angle	කෝණය	0.4651546189270448	1.0
304	but %s is installed	නමුත් %s ස්ථාපනය කොට ඇත	0.46507352468324825	0.779167
305	Disable camera	කැමරාව අක්‍රීය කරන්න	0.46506196341942996	0.4
306	Select all files	ගොනු සියල්ල තෝරන්න	0.4650177356088534	0.337461
307	directory pane	නාමාවලි පුවරුව	0.4647326435078867	0.6
308	Show version	අනුවාදය පෙන්වන්න	0.46460093432688154	0.457014
309	Work Email	රක්ෂාවේ විද්‍යුත් තැපෑල	0.46426609955960885	0.397727
310	Open the selected folder	තෝරාගත් බහලුම විවෘත කරන්න	0.46417997631942853	0.549231
311	PNM image loader does not support this PNM subformat	PNM පිළිඹිබු පූරකය මෙම PNM උපසංයුතියට සහාය නොදක්වයි	0.464020162954339	0.685414
312	Penguin Freecell	පෙන්ගුයින් නිදහස් සෛලය	0.46390820562373847	0.503836
313	Couldn't write to BMP file	BMP ගොනුවට ලිවිය නොහැකි විය	0.463876550556511	0.581349
315	Install a minimal system	අවම පද්ධතියක් ස්ථාපනය කරන්න	0.4635126476350706	0.43
316	Information about the program	ක්‍රමලේඛය පිළිබද තොරතුරු	0.46346674975939095	0.66
317	Select Your Avatar Image	ඔබගේ මූර්ති පින්තූරය තෝරන්න	0.4634633690584451	1.0
319	All files	සියලු ගොනුdisc	0.4633901118650101	1.0
320	Install a workstation	වැඩපොළක් ස්ථාපනය කරන්න	0.4633382795000216	0.468379
321	Blocked Contacts	වාරණිත සබැඳුම්	0.4633380062296055	1.0
322	MTP Media Player Support	MTP මාධ්‍ය වාදක සහය	0.4632355714602454	0.475
323	Deselect all files	තෝරාගත් ගොනු සියල්ල අත්හරින්න	0.4632185747032054	0.463158
324	Select Timezone	වේලාකළාපය තෝරන්න	0.4631986564199906	0.575368
326	Disconnected	විසන්ධිවිය	0.4629449631611351	1.0
328	PNM file is not in a recognized PNM subformat	PNM ගොනුව හදුනාගත් PNM උපසංයුතියක් නොවේ	0.46288378588775153	0.913043
329	location of appointment	හමුවීමේ ස්තානය	0.4627080492209643	0.454167
330	_Previous Conversations	පෙර සංවාද (_P)	0.46248323915642686	0.375
